Design #,C.O.F. ,Epsilon,S.H.,W,L ,F.P.L,F.P.W,F.L,F.W,O.O.F ,BW,S11,Directivity,Gain,Efficency,
1,2400,4.6,1.6,37.351,28.807,9.6024,18.6755,0,0,2363,5,30.691,6.163,1.385,33.3,
2,2400,4.6,1,37.551,29.007,9.669,18.7755,0,0,2380,0,37.378,6.086,0.478,27.5,
3,2400,4.6,1.1,37.451,28.907,9.6357,18.7255,0,0,2383,0,59.204,6.098,0.66,28.6,
4,2400,4.6,1.2,37.651,29.107,9.7024,18.8255,0,0,2362,2,40.621,6.114,0.936,30.4,
5,2400,4.6,1.3,37.251,28.607,9.5357,18.6255,0,0,2395,2,35.741,6.122,0.899,30,
6,2400,4.6,1.4,37.051,28.507,9.5024,18.5255,0,0,2398,1,32.637,6.136,1.035,30.9,
7,2400,4.6,1.5,37,28.67,9.557,18.5,0,0,2380,4,30.335,6.152,1.249,32.3,
8,2400,4.6,1.6,37.1,28.7,9.5667,18.55,0,0,2372,4,29.972,6.164,1.362,33.1,
9,2400,4.6,1.7,37.151,28.757,9.58567,18.5755,0,0,2362,6,29.69,6.177,1.491,34,
10,2400,4.6,1.8,36.957,28.685,9.56167,18.4785,0,0,2362,6,29.06,6.191,1.579,34.6,
11,2400,4.6,1.9,36.901,28.591,9.53034,18.4505,0,0,2364,5,29.464,6.202,1.629,34.9,
12,2400,4.6,2,36.857,28.432,9.47734,18.4285,0,0,2370,5,30.375,6.213,1.629,34.8,
13,2400,4.6,1.05,36.801,28.101,9.367,18.4005,0,0,2457,0,43.58,6.09,0.341,26.6,
14,2400,4.6,1.15,36.521,27.995,9.331667,18.2605,0,0,2462,0,34.773,6.109,0.622,28.3,
15,2400,4.6,1.25,36.495,27.707,9.23567,18.2475,0,0,2480,3,32.681,6.119,0.706,28.8,
16,2400,4.6,1.35,36.395,27.68,9.2267,18.1975,0,0,2477,0,30.281,6.133,0.888,29.9,
17,2400,4.6,1.45,36.832,27.932,9.31067,18.416,0,0,2451,3,30.136,6.137,0.872,29.8,
18,2400,4.6,1.55,38.102,29.123,9.70767,19.051,0,0,2342,3,33.942,6.16,1.459,33.9,
19,2400,4.6,1.65,37.595,29.134,9.71134,18.7975,0,0,2337,4,30.255,6.175,1.606,34.9,
20,2400,4.6,1.75,37.645,29.167,9.72234,18.8225,0,0,2329,5,30.068,6.189,1.735,35.9,
21,2400,4.6,1.85,37.696,29.189,9.72967,18.848,0,0,2322,4,30.177,6.203,1.85,36.7,
22,2400,4.6,1.95,37.735,29.147,9.71567,18.8675,0,0,2319,4,30.842,6.216,1.921,37.2,
23,2400,4.6,1.03,37.832,29.172,9.724,18.916,0,0,2365,0,37.727,6.091,0.61,28.3,
24,2400,4.6,1.07,37.874,29.199,9.733,18.937,0,0,2361,0,42.779,6.097,0.712,28.9,
25,2400,4.6,1.13,37.892,29.232,9.744,18.946,0,0,2356,0,44.249,6.106,0.855,29.8,
26,2400,4.6,1.17,37.915,29.272,9.75734,18.9575,0,0,2351,0,47.147,6.112,0.954,30.5,
27,2400,4.6,1.23,37.945,29.299,9.76634,18.9725,0,0,2346,1,40.644,6.12,1.079,31.3,
28,2400,4.6,1.27,37.974,29.324,9.77467,18.987,0,0,2342,1,38.298,6.126,1.163,31.9,
29,2400,4.6,1.33,38.015,29.356,9.78534,19.0075,0,0,2337,2,35.609,6.135,1.279,32.7,
30,2400,4.6,1.37,38.104,29.379,9.739,19.052,0,0,2333,3,32.195,6.141,1.378,33.4,
31,2400,4.6,1.43,38.149,29.4,9.8,19.0745,0,0,2327,3,33.986,6.149,1.457,33.9,
32,2400,4.6,1.47,38.125,29.439,9.813,19.0625,0,0,2323,2,33.134,6.156,1.537,34.5,
33,2400,4.6,1.53,38.157,29.456,9.81867,19.0785,0,0,2318,3,32.32,6.164,1.629,35.2,
34,2400,4.6,1.57,38.179,29.479,9.82634,19.0895,0,0,2315,3,32.047,6.17,1.696,35.7,
35,2400,4.6,1.63,38.196,29.499,9.833,19.098,0,0,2311,3,31.663,6.179,1.784,36.3,
36,2400,4.6,1.67,38.224,29.524,9.84134,19.112,0,0,2307,4,31.449,6.185,1.848,36.8,
37,2400,4.6,1.73,38.269,29.569,9.85634,19.1345,0,0,2300,4,31.292,6.195,1.947,37.6,
38,2400,4.6,1.77,38.294,29.601,9.867,19.147,0,0,2296,4,31.054,6.201,2.012,38.1,
39,2400,4.6,1.83,38.325,29.636,9.87867,19.1625,0,0,2290,5,31.083,6.21,2.101,38.8,
40,2400,4.6,1.87,38.357,29.679,9.893,19.1785,0,0,2285,5,31.06,6.216,2.171,39.4,
41,2400,4.6,1.93,38.386,29.691,9.897,19.193,0,0,2281,5,31.249,6.226,2.118,38.8,
42,2400,4.6,1.97,38.412,29.734,9.91134,19.206,0,0,2276,5,31.174,6.232,2.309,40.5,
43,2400,2.33,1.6,34.249786,41.546913,27.697942,17.124893,0,0,2304,80,6.927,7.076,5.944,77.1,
44,2400,2.33,1.2,34.805,40.6913,27.1275333,17.4025,0,0,2371,55,7.046,7.034,5.513,70.5,
45,2400,2.33,1.414,32.89878,42.2186,28.1457333,16.44939,0,0,2281,84,6.165,7.062,5.987,78.1,
46,2400,2.33,1.9387,33.265,39.6532,26.4355,16.6325,0,0,2302,119,6.235,7.905,6.074,79.1,
47,2400,2.33,1.309,34.001,41.002,20.501,17.0005,0,0,2344,73,6.716,7.044,5.678,73,
48,2400,2.33,1.99,32.15,39.537,26.358,16.075,0,0,2405,123,7.12,7.054,5.384,68.1,
49,2400,2.33,1.001,36.233,40.9685,27.31233333,18.1165,0,0,2359,73,5.844,7.006,5.426,69.5,
50,2400,2.33,1.789,34.001,40,26.66,17.0005,0,0,2404,78,7.864,7.057,5.399,68.3,
51,2400,2.33,1.8435,34,41,27.33,17,0,0,2383,73,8.232,7.064,5.459,69.1,
52,2400,2.33,1.037,35.99,42,28,17.995,0,0,2303,82,6.293,7.038,5.761,74.5,
53,2400,2.33,1.5123,36,41.099,27.399,18,0,0,2327,68,7.584,7.075,5.851,75.4,
54,2400,2.33,1.1098,32.99,43,28.66,16.495,0,0,2253,72,5.817,7.052,5.989,78.3,
55,2400,2.33,1.88,34.807,39.8956,26.597,17.4035,0,0,2387,79,8.045,7.073,5.544,70.3,
56,2400,2.33,1.789,35.25,40,26.66,17.625,0,0,2401,72,8.373,7.065,5.438,68.8,
57,2400,3,1,44.194,35.799,11.933,22.097,0,0,2410,261,3.426,6.513,3.869,54.4,
58,2400,3,1.05,44.394,35.999,11.999,22.197,0,0,2396,261,3.451,6.52,4.001,56,
59,2400,3,1.1,44.594,36.199,12.06633333,22.297,0,0,2382,260,3.477,6.528,4.13,57.6,
60,2400,3,1.15,44.794,36.399,12.133,22.397,0,0,2368,260,3.504,6.536,4.257,59.2,
61,2400,3,1.2,44.994,36.599,12.19966667,22.497,0,0,2358,237,3.608,6.545,4.365,60.5,
62,2400,3,1.25,45.194,36.799,12.26633333,22.597,0,0,2338,248,3.603,6.555,4.556,63.1,
63,2400,3,1.3,45.394,36.999,12.333,22.697,0,0,2325,245,3.635,6.563,4.669,64.7,
64,2400,3,1.35,45.594,37.199,12.39966667,22.797,0,0,2312,245,3.665,6.571,4.779,66.2,
65,2400,3,1.4,45.794,37.399,12.46633333,22.897,0,0,2299,244,3.696,6.579,4.887,67.7,
66,2400,3,1.45,45.994,37.599,12.533,22.997,0,0,2286,239,3.727,6.587,4.99,69.2,
67,2400,3,1.5,46.194,37.799,12.59966667,23.097,0,0,2273,239,3.759,6.595,5.09,70.7,
68,2400,3,1.55,43.994,35.599,11.86633333,21.997,0,0,2408,268,3.81,6.562,3.977,55.1,
69,2400,3,1.6,43.794,35.399,11.79966667,21.897,0,0,2419,268,3.856,6.564,3.881,53.1,
70,2400,3,1.65,43.594,35.199,11.733,21.797,0,0,2431,270,3.904,6.566,3.783,52.7,
71,2400,3,1.7,43.394,34.999,11.66633333,21.697,0,0,2443,271,3.953,6.568,3.683,51.5,
72,2400,3,1.75,43.194,34.799,11.59966667,21.597,0,0,2453,274,4.003,6.57,3.582,50.3,
73,2400,3,1.8,42.994,34.599,11.533,21.497,0,0,2465,276,4.053,6.572,3.479,49.1,
74,2400,3,1.85,42.794,34.399,11.46633333,21.397,0,0,2477,279,4.106,6.574,3.374,47.9,
75,2400,3,1.9,42.594,34.199,11.39966667,21.297,0,0,2488,276,4.16,6.576,3.268,46.7,
76,2400,3,1.95,42.394,33.999,11.333,21.197,0,0,2500,278,4.213,6.578,3.162,45.5,
77,2400,3,2,42.194,33.799,11.26633333,21.097,0,0,2541,284,3.596,6.505,2.833,42.9,
78,2400,3,1.05,43.994,35.599,11.86633333,21.997,0,0,2422,265,3.458,6.515,3.789,53.4,
79,2400,3,1.1,43.794,35.399,11.79966667,21.897,0,0,2434,268,3.495,6.517,3.701,52.3,
80,2400,3,1.15,43.594,35.199,11.733,21.797,0,0,2446,270,3.529,6.519,3.167,51.3,
81,2400,3,1.2,43.394,34.999,11.66633333,21.697,0,0,2458,270,3.567,6.521,3.526,50.2,
82,2400,3,1.25,43.194,34.799,11.59966667,21.597,0,0,2470,273,3.607,6.523,3.433,49.1,
83,2400,3,1.3,42.994,34.599,11.533,21.497,0,0,2482,279,3.649,6.525,3.337,48,
84,2400,3,1.35,42.794,34.399,11.46633333,21.397,0,0,2494,279,3.693,6.527,3.238,46.9,
85,2400,3,1.4,42.594,34.199,11.39966667,21.297,0,0,2507,281,3.737,6.529,3.138,45.8,
86,2400,3,1.45,42.394,33.999,11.333,21.197,0,0,2518,284,3.783,6.531,3.306,44.7,
87,2400,3,1.5,42.194,33.799,11.26633333,21.097,0,0,2533,289,3.817,6.533,2.928,43.6,
88,2400,3,1.55,44.394,35.999,11.99966667,22.197,0,0,2383,265,3.797,6.567,4.192,57.9,
89,2400,3,1.6,44.594,36.199,12.06633333,22.297,0,0,2369,263,3.829,6.575,4.31,59.4,
90,2400,3,1.65,44.794,36.399,12.133,22.397,0,0,2355,263,3.861,6.582,4.427,60.9,
91,2400,3,1.7,44.994,36.599,12.19966667,22.497,0,0,2345,242,4,6.593,4.528,62.2,
92,2400,3,1.75,45.194,36.799,12.26633333,22.597,0,0,2323,247,3.977,6.603,4.736,65,
93,2400,3,1.8,45.394,36.999,12.333,22.697,0,0,2310,247,4.01,6.611,4.841,66.5,
94,2400,3,1.85,45.594,37.199,12.39966667,22.797,0,0,2297,247,4.405,6.619,4.943,68,
95,2400,3,1.9,45.794,37.399,12.46633333,22.897,0,0,2284,242,4.08,6.627,5.042,69.4,
96,2400,3,1.95,45.994,37.599,12.533,22.997,0,0,2271,242,4.113,6.635,5.139,70.9,
97,2400,3,1.2,46.194,37.799,12.59966667,23.097,0,0,2281,237,3.553,6.566,4.969,69.2,
98,2400,3,2,46.194,37.799,12.59966667,23.097,0,0,2258,242,4.147,6.642,5.232,72.3,
99,2400,3,1,43.994,35.599,11.86633333,21.997,0,0,2423,263,3.429,6.511,3.762,53.1,
,,,,,,,,,,,,,,,,
